RUN	StressTest	stresstest	1561346327594	 	3.1.2
USER	100 requests - campaign	5	START	1561346329794	1561346329794
USER	100 requests - campaign	4	START	1561346329798	1561346329798
USER	100 requests - campaign	14	START	1561346329941	1561346329941
USER	100 requests - campaign	15	START	1561346329943	1561346329943
USER	100 requests - campaign	16	START	1561346329944	1561346329944
USER	100 requests - campaign	17	START	1561346329946	1561346329946
USER	100 requests - campaign	18	START	1561346329947	1561346329947
USER	100 requests - campaign	19	START	1561346329949	1561346329949
USER	100 requests - campaign	8	START	1561346329826	1561346329826
USER	100 requests - campaign	20	START	1561346329950	1561346329950
USER	100 requests - campaign	21	START	1561346329951	1561346329951
USER	100 requests - campaign	22	START	1561346329951	1561346329951
USER	100 requests - campaign	23	START	1561346329951	1561346329951
USER	100 requests - campaign	25	START	1561346329953	1561346329953
USER	100 requests - campaign	24	START	1561346329953	1561346329953
USER	100 requests - campaign	26	START	1561346329955	1561346329955
USER	100 requests - campaign	27	START	1561346329956	1561346329956
USER	100 requests - campaign	28	START	1561346329957	1561346329957
USER	100 requests - campaign	11	START	1561346329872	1561346329872
USER	100 requests - campaign	30	START	1561346329960	1561346329960
USER	100 requests - campaign	31	START	1561346329962	1561346329962
USER	100 requests - campaign	7	START	1561346329815	1561346329815
USER	100 requests - campaign	32	START	1561346329963	1561346329963
USER	100 requests - campaign	33	START	1561346329963	1561346329963
USER	100 requests - campaign	34	START	1561346329964	1561346329964
USER	100 requests - campaign	35	START	1561346329965	1561346329965
USER	100 requests - campaign	36	START	1561346329965	1561346329965
USER	100 requests - campaign	37	START	1561346329966	1561346329966
USER	100 requests - campaign	39	START	1561346329966	1561346329966
USER	100 requests - campaign	38	START	1561346329966	1561346329966
USER	100 requests - campaign	2	START	1561346329783	1561346329783
USER	100 requests - campaign	41	START	1561346329968	1561346329968
USER	100 requests - campaign	40	START	1561346329968	1561346329968
USER	100 requests - campaign	42	START	1561346329969	1561346329969
USER	100 requests - campaign	44	START	1561346329969	1561346329969
USER	100 requests - campaign	45	START	1561346329970	1561346329970
USER	100 requests - campaign	46	START	1561346329970	1561346329970
USER	100 requests - campaign	48	START	1561346329971	1561346329971
USER	100 requests - campaign	13	START	1561346329941	1561346329941
USER	100 requests - campaign	49	START	1561346329973	1561346329973
